drsan6520-a (Fabric A),,,,,,,,drsan6520-b (Fabric B),,,,,,
PORT,ATTACHED DEVICE,SPEED,,PORT,ATTACHED DEVICE,SPEED,,PORT,ATTACHED DEVICE,SPEED,,PORT,ATTACHED DEVICE,SPEED
1,,,,49,,,,1,,,,49,,
2,,,,50,,,,2,,,,50,,
3,,,,51,,,,3,,,,51,,
4,,,,52,,,,4,,,,52,,
5,des078esx32,16,,53,,,,5,des078esx32,16,,53,,
6,SUXPureM50 Port 2,16,,54,,,,6,SUXPureM50 Port 3,16,,54,,
7,SUXPureM50 Port 12,16,,55,,,,7,SUXPureM50 Port 13,16,,55,,
8,dws088vmprxy,8,,56,,,,8,dws088vmprxy,8,,56,,
9,dws088vmprxy,8,,57,,,,9,dws088vmprxy,8,,57,,
10,,,,58,,,,10,,,,58,,
11,,,,59,,,,11,,,,59,,
12,SUXPureM50 Port 9,16,,60,,,,12,SUXPureM50 Port 8,16,,60,,
13,,,,61,,,,13,,,,61,,
14,SUXPureM50 Port 0,16,,62,,,,14,SUXPureM50 Port 1,16,,62,,
15,SUXPureM50 Port 10,16,,63,,,,15,SUXPureM50 Port 11,16,,63,,
16,,,,64,,,,16,,,,64,,
17,dcvnetappp01,16,,65,,,,17,dcvnetappp01,16,,65,,
18,,,,66,,,,18,,,,66,,
19,des078esx31,8,,67,,,,19,des078esx31,8,,67,,
20,,,,68,,,,20,,,,68,,
21,SUXPureM50 Port 5,16,,69,,,,21,SUXPureM50 Port 4,16,,69,,
22,SUXPureM50 Port 15,16,,70,,,,22,SUXPureM50 Port 14,16,,70,,
23,,,,71,,,,23,,,,71,,
24,,,,72,,,,24,,,,72,,
25,suxucs001 Port 31,8,,73,,,,25,suxucs001 Port 31,8,,73,,
26,,,,74,,,,26,,,,74,,
27,SUXPureM50 Port 19,16,,75,,,,27,SUXPureM50 Port 18,16,,75,,
28,,,,76,,,,28,,,,76,,
29,suxucs001 Port 32,8,,77,,,,29,suxucs001 Port 32,8,,77,,
30,,,,78,,,,30,,,,78,,
31,,,,79,,,,31,,,,79,,
32,,,,80,,,,32,,,,80,,
33,,,,81,,,,33,,,,81,,
34,,,,82,,,,34,,,,82,,
35,,,,83,,,,35,,,,83,,
36,,,,84,,,,36,,,,84,,
37,,,,85,,,,37,,,,85,,
38,,,,86,,,,38,,,,86,,
39,,,,87,,,,39,,,,87,,
40,,,,88,,,,40,,,,88,,
41,,,,89,,,,41,,,,89,,
42,,,,90,,,,42,,,,90,,
43,,,,91,,,,43,,,,91,,
44,,,,92,,,,44,,,,92,,
45,,,,93,,,,45,,,,93,,
46,,,,94,,,,46,,,,94,,
47,,,,95,,,,47,,,,95,,
48,,,,96,,,,48,,,,96,,
