br8510-a (Fabric A),,,,,,,,,,br8510-b (Fabric B),,,,,,,,
BLADE,PORT,ATTACHED DEVICE,SPEED,,BLADE,PORT,ATTACHED DEVICE,SPEED,,BLADE,PORT,ATTACHED DEVICE,SPEED,,BLADE,PORT,ATTACHED DEVICE,SPEED
7,1,pes073esx32,16,,8,1,pes073esx30,16,,7,1,pes073esx32,16,,8,1,pes073esx30,16
7,2,,,,8,2,LEMPureX70 Port 7,16,,7,2,,,,8,2,LEMPureX70 Port 6,16
7,3,LEMPureM50 Port 9,16,,8,3,tapelib-cc-01,4,,7,3,LEMPureM50 Port 8,16,,8,3,tapelib-cc-01,4
7,4,,,,8,4,LEMPureX70 Port 9,16,,7,4,,,,8,4,LEMPureX70 Port 8,16
7,5,,,,8,5,LEMPureX70 Port 0,16,,7,5,,,,8,5,LEMPureX70 Port 1,16
7,6,pes078esx30,,,8,6,,,,7,6,pes078esx30,16,,8,6,,
7,7,pes078esx33,16,,8,7,LEMPureX70 Port 17,16,,7,7,pes078esx33,16,,8,7,LEMPureX70 Port 16,16
7,8,LEMPureX70 Port 13,16,,8,8,LEMPureM50 Port 0,16,,7,8,LEMPureX70 Port 12,16,,8,8,LEMPureM50 Port 1,16
7,9,LEMPureM50 Port 5,16,,8,9,LEMPureX70 Port 19,16,,7,9,LEMPureM50 Port 4,16,,8,9,LEMPureX70 Port 18,16
7,10,,,,8,10,LEMPureX70 Port 10,16,,7,10,,,,8,10,LEMPureX70 Port 11,16
7,11,,,,8,11,,,,7,11,,,,8,11,,
7,12,LEMPureM50 Port 7,16,,8,12,,,,7,12,LEMPureM50 Port 6,16,,8,12,,
7,13,,,,8,13,pes078esx31,16,,7,13,,,,8,13,pes078esx31,16
7,14,,,,8,14,lemucs002-a port 2,16,,7,14,,,,8,14,lemucs002-b Port 2,16
7,15,,,,8,15,LEMPureM50 Port 10,16,,7,15,,,,8,15,LEMPureM50 Port 11,16
7,16,,,,8,16,pes078esx33,16,,7,16,,,,8,16,pes078esx33,16
7,17,,,,8,17,,,,7,17,,,,8,17,pws011vmprxy,8
7,18,,,,8,18,pws011vmprxy,8,,7,18,,,,8,18,pws011vmprxy,8
7,19,pes073esx33,16,,8,19,LEMPureX70 Port 3,16,,7,19,pes073esx33,16,,8,19,LEMPureX70 Port 2,16
7,20,pes073esx31,16,,8,20,lemucs002-a port 4,16,,7,20,pes073esx31,16,,8,20,lemucs002-b Port 4,16
7,21,lemucs002-a Port 1,16,,8,21,pws011vmprxy,8,,7,21,lemucs002-b Port 1,16,,8,21,,
7,22,,,,8,22,,,,7,22,,,,8,22,,
7,23,,,,8,23,,,,7,23,,,,8,23,,
7,24,,,,8,24,pcvnetapp,16,,7,24,,,,8,24,pcvnetapp,16
7,25,,,,8,25,pes073esx31,16,,7,25,,,,8,25,pes073esx31,16
7,26,,,,8,26,pls001vidarch,16,,7,26,,,,8,26,pls001vidarch,16
7,27,lemucs002-a Port 3,16,,8,27,LEMPureM50 Port 3,16,,7,27,lemucs002-b Port 3,16,,8,27,LEMPureM50 Port 2,16
7,28,,,,8,28,,,,7,28,,,,8,28,,
7,29,,,,8,29,,,,7,29,,,,8,29,,
7,30,,,,8,30,,,,7,30,,,,8,30,,
7,31,LEMPureX70 Port 15,16,,8,31,,,,7,31,LEMPureX70 Port 14,16,,8,31,,
7,32,pes073esx32,16,,8,32,pes078esx31,16,,7,32,pes073esx32,,,8,32,pes078esx31,16
7,33,,,,8,33,LEMPureM50 Port 15,16,,7,33,LEMPureM50 Port 16,16,,8,33,LEMPureM50 Port 14,16
7,34,,,,8,34,,,,7,34,,,,8,34,,
7,35,LEMPureM50 Port 17,16,,8,35,,,,7,35,,,,8,35,,
7,36,pes078esx32,8,,8,36,pes069esx01,16,,7,36,pes078esx32,8,,8,36,pes069esx01,16
7,37,,,,8,37,,,,7,37,,,,8,37,,
7,38,,,,8,38,pes073esx30,16,,7,38,,,,8,38,pes073esx30,16
7,39,LEMPureM50 Port 13,16,,8,39,,,,7,39,LEMPureM50 Port 12,16,,8,39,,
7,40,,,,8,40,,,,7,40,,,,8,40,,
7,41,,,,8,41,,,,7,41,,,,8,41,,
7,42,pls001vidarch,16,,8,42,,,,7,42,pls001vidarch,16,,8,42,,
7,43,,,,8,43,LEMPureX70 Port 5,16,,7,43,,,,8,43,LEMPureX70 Port 4,16
7,44,pes073esx33,16,,8,44,,,,7,44,pes073esx33,16,,8,44,,
7,45,LEMPureM50 Port 19,16,,8,45,,,,7,45,LEMPureM50 Port 18,16,,8,45,,
7,46,,,,8,46,,,,7,46,,,,8,46,,
7,47,,,,8,47,,,,7,47,,,,8,47,,
7,48,,,,8,48,,,,7,48,,,,8,48,,
